nome;longitude;latitude
Dumont;-47.975.622;-21.232.401
Echaporã;-50.203.787;-22.43.256
Eldorado;-48.114.085;-24.52.809
Elias Fausto;-47.368.153;-23.042.822
Elisiário;-49.114.594;-21.167.754
Embaúba;-48.832.452;-20.979.595
Embu;-46.857.854;-23.643.717
Embu-Guaçu;-46.813.593;-23.829.717
Emilianópolis;-51.483.168;-21.831.436
Engenheiro Coelho;-47.211.045;-22.483.573
Espírito Santo do Pinhal;-46.74.767;-22.190.871
Espírito Santo do Turvo;-49.434.119;-22.69.254
Estiva Gerbi;-46.948.111;-22.271.314
Estrela d`Oeste;-50.404.872;-20.28.755
Estrela do Norte;-51.663.203;-22.485.935
Euclides da Cunha Paulista;-52.592.779;-22.55.452
Fartura;-49.512.403;-23.391.643
Fernando Prestes;-48.687.384;-21.266.061
Fernandópolis;-50.247.115;-20.280.556
Fernão;-49.518.735;-22.36.066
Ferraz de Vasconcelos;-46.37.097;-23.541.056
Flora Rica;-51.382.107;-21.672.738
Floreal;-50.151.282;-20.675.193
Florínia;-50.732.976;-22.902.483
Flórida Paulista;-51.172.445;-21.612.711
Franca;-47.403.861;-20.53.523
Francisco Morato;-46.744.781;-23.279.248
Franco da Rocha;-46.729.011;-23.322.882
Gabriel Monteiro;-50.557.321;-21.52.941
Garça;-49.654.596;-22.212.516
Gastão Vidigal;-50.191.183;-20.794.776
Gavião Peixoto;-48.49.566;-21.836.658
General Salgado;-50.36.397;-20.648.458
Getulina;-49.931.205;-21.796.117
Glicério;-50.212.269;-21.381.193
Guaimbê;-49.89.861;-21.909.072
Guaiçara;-49.801.287;-21.619.537
Guapiara;-48.529.549;-24.18.921
Guapiaçu;-49.217.201;-20.795.885
Guaraci;-48.939.107;-20.49.766
Guarani d`Oeste;-50.341.123;-20.074.646
Guarantã;-49.591.351;-21.894.195
Guararapes;-50.645.338;-21.254.431
Guararema;-46.036.946;-23.411.195
Guaratinguetá;-45.193.788;-22.807.534
Guaraçaí;-51.211.854;-21.029.173
Guareí;-48.183.715;-23.371.359
Guariba;-48.23.158;-21.35.938
Guarujá;-46.257.959;-23.988.798
Guarulhos;-46.533.347;-23.453.758
Guará;-47.823.626;-20.430.162
Guatapará;-48.035.588;-21.494.444
Guaíra;-48.31.197;-20.319.591
Guzolândia;-50.664.505;-20.646.679
Gália;-49.550.356;-22.291.846
Herculândia;-50.390.734;-22.003.802
Holambra;-47.048.694;-22.640.513
Hortolândia;-47.214.259;-22.852.854
Iacanga;-49.030.959;-21.889.646
Iacri;-50.693.152;-21.857.199
Iaras;-49.163.377;-22.868.199
Ibaté;-47.988.211;-21.958.358
Ibirarema;-50.073.901;-22.818.537
Ibirá;-49.244.833;-21.083.032
